ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
JTOSJLO,16,TLJJSO;TLJJOO;TJJSOO;LJJSOO;TLJSOO,O;S;L;T;J,v115@9gC8R4hlRpC8R4g0wwglRpE8g0xwRpD8h0wwglRpA8?JeAgWGAv/VWCPNBAA;v115@9gC8R4h0RpC8R4h0wwRpE8g0xwRpD8i0wwRpA8JeAg?WGAv/lPCPNBAA;v115@9gC8R4RphlC8R4g0RpwwglE8g0RpxwD8h0RpwwglA8?JeAgWGA0vKWCPNBAA;v115@9gC8R4Rph0C8R4g0Rpg0wwE8g0RpxwD8h0Rpg0wwA8?JeAgWGA0vaPCPNBAA;v115@9gC8i0ilC8ywg0glR4E8Rpi0D8wwRpR4g0A8JeAgWG?AvvTxCs/AAA;v115@9gC8i0glRpC8ywg0glRpE8Rpi0D8wwRphlg0A8JeAg?WGAv/DxCv/AAA;v115@9gC8wwilRpC8xwglR4RpE8i0RpD8wwR4g0RpA8JeAg?WGAvvTxCvCBAA;v115@9gC8wwRpilC8xwRpglR4E8Rpi0D8wwRpR4g0A8JeAg?WGAvvTxCvCBAA;v115@9gC8wwhli0C8ywgli0E8R4g0RpD8R4glg0RpA8JeAg?WGAvvTxCs/AAA;v115@9gC8i0RpglC8ywg0ilE8Rpi0D8wwTpg0A8JeAgWGAv?/VWCKHBAA;v115@9gC8wwRpi0C8xwRpR4g0E8g0R4RpD8wwi0RpA8JeAg?WGAvvTxCv/AAA;v115@9gC8i0Q4hlC8ywg0R4glE8Rpg0Q4glD8wwRpi0A8Je?AgWGAK3TWC0/AAA;v115@9gC8TphlC8i0RpwwglE8h0ywD8Rpi0glA8JeAgWGAq?+aPCMHBAA;v115@9gC8ili0C8i0R4RpE8R4wwRpD8glg0ywg0A8JeAgWG?AU3jPCqCBAA;v115@9gC8ili0C8i0ywg0E8g0R4RpD8glR4wwRpA8JeAgWG?AvvTxCqCBAA;v115@9gC8TphlC8i0RpR4E8h0R4glD8Rpi0glA8JeAgWGAK?3jPCMHBAA
OTJTLJS,46,TLJJSO;TTLJJS;TTLJJO;TTJJSO;TTLJSO,T;O;S;L;J,v115@9gC8R4wwilC8R4xwglRpE8xwg0RpD8ywi0A8JeAgWG?Aq+KxCzCBAA;v115@9gC8R4wwi0C8R4xwi0E8xwg0RpD8ywg0RpA8JeAgWG?Avu/wCz/AAA;v115@9gC8wwhli0C8ywgli0E8wwglg0RpD8ywg0RpA8JeAg?WGAvu/wCs/AAA;v115@9gC8wwh0ilC8xwg0wwglRpE8xwg0RpD8wwg0wwi0A8?JeAgWGAKHWxCqCBAA;v115@9gC8wwilh0C8xwglRpg0wwE8g0RpxwD8wwj0wwA8Je?AgWGAq+aPC0CBAA;v115@9gC8R4wwi0C8R4xwRpg0E8xwi0D8ywRpg0A8JeAgWG?A0/dgCz/AAA;v115@9gC8R4RphlC8R4wwRpwwglE8i0xwD8ywg0wwglA8Je?AgWGA0/VWCPNBAA;v115@9gC8R4Rph0C8R4wwRpg0wwE8i0xwD8ywh0wwA8JeAg?WGA0/lPCPNBAA;v115@9gC8wwi0hlC8xwRpg0wwglE8i0xwD8wwRpg0wwglA8?JeAgWGA0/DxCv/AAA;v115@9gC8wwR4ilC8zwRpg0E8xwRpg0D8R4wwglh0A8JeAg?WGAKHWxCzCBAA;v115@9gC8wwR4i0C8ywilg0E8i0RpD8R4glg0RpA8JeAgWG?Av/DxCKNBAA;v115@9gC8wwhlRpg0C8ywglRpg0E8wwgli0D8ywi0A8JeAg?WGAquHgC0CBAA;v115@9gC8wwR4i0C8zwi0E8xwg0RpD8R4wwg0RpA8JeAgWG?Av/VxCKNBAA;v115@9gC8wwh0glRpC8xwg0wwglRpE8xwi0D8wwg0wwhlg0?A8JeAgWGAqOExCKHBAA;v115@9gC8wwR4ilC8zwglRpE8xwg0RpD8R4wwi0A8JeAgWG?AKHWxCMNBAA;v115@9gC8wwR4i0C8zwRpg0E8xwi0D8R4wwRpg0A8JeAgWG?Aq+KxCKNBAA;v115@9gC8wwR4i0C8zwi0E8xwRpg0D8R4wwRpg0A8JeAgWG?Avu/wCz/AAA;v115@9gC8i0ywC8ywg0ilE8Rpi0D8wwRpglwwg0A8JeAgWG?Av/DxCqOBAA;v115@9gC8wwhli0C8ywgli0E8wwglRpg0D8ywRpg0A8JeAg?WGAvu/wCs/AAA;v115@9gC8i0ilC8ywg0ywE8Rpi0D8wwRpglwwg0A8JeAgWG?Av/VxCqCBAA;v115@9gC8ili0C8i0ywg0E8g0xwRpD8glywRpA8JeAgWGAv?OmPCqCBAA;v115@9gC8wwhli0C8ywglRpg0E8wwgli0D8ywRpg0A8JeAg?WGA0/VWCv/AAA;v115@9gC8ywi0C8ywilg0E8i0RpD8xwglg0RpA8JeAgWGAv?/DxCqOBAA;v115@9gC8wwglRph0C8xwglRpg0wwE8i0xwD8wwhlh0wwA8?JeAgWGA0f/wCMHBAA;v115@9gC8R4wwglRpC8R4xwglRpE8xwi0D8ywhlg0A8JeAg?WGA0/VWCPNBAA;v115@9gC8wwR4glRpC8zwglRpE8xwi0D8R4wwhlg0A8JeAg?WGAqOMgCUNBAA;v115@9gC8wwR4RpglC8zwilE8xwi0D8R4wwRpg0A8JeAgWG?AqOExCPNBAA;v115@9gC8wwi0RpC8ywh0RpE8wwi0glD8ywilA8JeAgWGA0?/VWCv/AAA;v115@9gC8l0C8ywg0ilE8RpywD8wwRpglwwg0A8JeAgWGAv?OExCq/AAA;v115@9gC8wwh0ilC8xwg0wwRpg0E8xwRpg0D8wwg0wwglh0?A8JeAgWGAKHWxCqCBAA;v115@9gC8wwhlg0RpC8ywgli0E8wwglg0RpD8ywi0A8JeAg?WGAqu/wCMHBAA;v115@9gC8i0ilC8ywj0E8RpywD8wwRpglwwg0A8JeAgWGAv?u/wCqCBAA;v115@9gC8wwh0RpglC8xwg0wwilE8xwi0D8wwg0wwRpg0A8?JeAgWGAqOmPCMHBAA;v115@9gC8wwRpglh0C8xwilg0wwE8i0xwD8wwRph0wwA8Je?AgWGA0f/wCMHBAA;v115@9gC8ili0C8i0ywg0E8ywRpD8glg0xwRpA8JeAgWGAv?OmPCqCBAA;v115@9gC8Rphlh0C8i0wwglg0wwE8g0zwD8Rpwwglg0wwA8?JeAgWGA0/lPCMHBAA;v115@9gC8Rph0hlC8j0xwglE8g0zwD8Rpg0xwglA8JeAgWG?A0/VWCKHBAA;v115@9gC8Rph0hlC8i0ywglE8h0xwglD8Rpg0ywA8JeAgWG?A0/DxCKHBAA;v115@9gC8wwi0hlC8ywRph0E8wwRpg0glD8ywh0glA8JeAg?WGA0/dgCs/AAA;v115@9gC8wwR4h0glC8zwilE8xwg0RpD8R4wwg0RpA8JeAg?WGAvOWWCKNBAA;v115@9gC8R4hlh0C8R4g0wwglg0wwE8g0zwD8h0wwglg0ww?A8JeAgWGA0/lPCMNBAA;v115@9gC8R4h0hlC8R4h0xwglE8g0zwD8i0xwglA8JeAgWG?A0/VWCKNBAA;v115@9gC8g0hlwwR4C8i0glywE8g0glywD8i0R4wwA8JeAg?WGA0/VWCz/AAA;v115@9gC8wwhlg0R4C8ywgli0E8wwgli0D8ywR4g0A8JeAg?WGA0f/wCMNBAA;v115@9gC8wwg0R4hlC8xwi0wwglE8i0xwD8wwR4g0wwglA8?JeAgWGA0/DxCKNBAA;v115@9gC8zwh0C8zwg0hlE8R4h0glD8R4i0glA8JeAgWGAq?OExCKNBAA
TOJLSTZ,12,TLJSZO;TTJSZO;TTLJZO;TTLJSZ;TTLJSO,T;L;S;O;Z,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8R4wwilC8R4xwglRpE8xwg0RpD8ywi0A8JeAgWG?Aq+KxCzCBAA;v115@9gC8ywglRpC8BtxwglRpE8xwi0D8Btwwhlg0A8JeAg?WGAqujWCvOBAA;v115@9gC8R4BtRpC8R4ywRpE8xwi0D8ywBtg0A8JeAgWGA0?vKxCzXBAA;v115@9gC8BtRphlC8ywRpwwglE8i0xwD8wwBtg0wwglA8Je?AgWGA0/DxCvXBAA;v115@9gC8R4ywglC8R4g0wwilE8g0xwRpD8h0xwRpA8JeAg?WGAv/VWCzOBAA;v115@9gC8R4ilwwC8R4g0RpxwE8g0RpxwD8h0glywA8JeAg?WGA0vKxCzCBAA;v115@9gC8wwR4ilC8zwglRpE8xwg0RpD8R4wwi0A8JeAgWG?AKHWxCMNBAA;v115@9gC8xwBtRpC8ywR4RpE8R4i0D8ywBtg0A8JeAgWGAK?3TxC0XBAA;v115@9gC8wwR4glRpC8zwglRpE8xwi0D8R4wwhlg0A8JeAg?WGAqOMgCUNBAA;v115@9gC8R4BthlC8R4g0wwBtglE8g0ywglD8h0zwA8JeAg?WGA0/VWCaNBAA;v115@9gC8RpBtQ4glC8i0wwilE8g0xwR4D8RpwwBtQ4A8Je?AgWGA0/rtCvXBAA
JTOJSLO,13,TLJJSO;TLJJOO;TJJSOO;LJJSOO;TLJSOO,O;S;L;T;J,v115@9gC8R4hlRpC8R4g0wwglRpE8g0xwRpD8h0wwglRpA8?JeAgWGAv/VWCPNBAA;v115@9gC8R4h0RpC8R4h0wwRpE8g0xwRpD8i0wwRpA8JeAg?WGAv/lPCPNBAA;v115@9gC8R4RphlC8R4g0RpwwglE8g0RpxwD8h0RpwwglA8?JeAgWGA0vKWCPNBAA;v115@9gC8R4Rph0C8R4g0Rpg0wwE8g0RpxwD8h0Rpg0wwA8?JeAgWGA0vaPCPNBAA;v115@9gC8i0ilC8ywg0glR4E8Rpi0D8wwRpR4g0A8JeAgWG?AvvTxCs/AAA;v115@9gC8i0glRpC8ywg0glRpE8Rpi0D8wwRphlg0A8JeAg?WGAv/DxCv/AAA;v115@9gC8wwilRpC8xwglR4RpE8i0RpD8wwR4g0RpA8JeAg?WGAvvTxCvCBAA;v115@9gC8wwRpilC8xwRpglR4E8Rpi0D8wwRpR4g0A8JeAg?WGAvvTxCvCBAA;v115@9gC8i0RpglC8ywg0ilE8Rpi0D8wwTpg0A8JeAgWGAv?/VWCKHBAA;v115@9gC8wwRpi0C8xwRpR4g0E8g0R4RpD8wwi0RpA8JeAg?WGAvvTxCv/AAA;v115@9gC8i0Q4hlC8ywg0R4glE8Rpg0Q4glD8wwRpi0A8Je?AgWGAK3TWC0/AAA;v115@9gC8TphlC8i0RpwwglE8h0ywD8Rpi0glA8JeAgWGAq?+aPCMHBAA;v115@9gC8TphlC8i0RpR4E8h0R4glD8Rpi0glA8JeAgWGAK?3jPCMHBAA
TOJLSZT,5,TLJSZO;TTLJZO;TTLJSO;TTLSZO,T;S;Z;J,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8ywglRpC8BtxwglRpE8xwi0D8Btwwhlg0A8JeAg?WGAqujWCvOBAA;v115@9gC8R4ywglC8R4g0wwilE8g0xwRpD8h0xwRpA8JeAg?WGAv/VWCzOBAA;v115@9gC8RpBtQ4glC8i0wwilE8g0xwR4D8RpwwBtQ4A8Je?AgWGA0/rtCvXBAA;v115@9gC8R4ywglC8R4BtilE8wwBtRpD8zwRpA8JeAgWGAv?ujWCzOBAA
JTOJSOL,13,TLJJSO;TLJJOO;TJJSOO;LJJSOO;TLJSOO,O;S;L;T;J,v115@9gC8R4hlRpC8R4g0wwglRpE8g0xwRpD8h0wwglRpA8?JeAgWGAv/VWCPNBAA;v115@9gC8R4h0RpC8R4h0wwRpE8g0xwRpD8i0wwRpA8JeAg?WGAv/lPCPNBAA;v115@9gC8R4RphlC8R4g0RpwwglE8g0RpxwD8h0RpwwglA8?JeAgWGA0vKWCPNBAA;v115@9gC8R4Rph0C8R4g0Rpg0wwE8g0RpxwD8h0Rpg0wwA8?JeAgWGA0vaPCPNBAA;v115@9gC8wwi0RpC8ywglg0RpE8i0RpD8ilg0RpA8JeAgWG?AvvKxCs/AAA;v115@9gC8i0ilC8ywg0glR4E8Rpi0D8wwRpR4g0A8JeAgWG?AvvTxCs/AAA;v115@9gC8wwilRpC8xwglR4RpE8i0RpD8wwR4g0RpA8JeAg?WGAvvTxCvCBAA;v115@9gC8wwRpilC8xwRpglR4E8Rpi0D8wwRpR4g0A8JeAg?WGAvvTxCvCBAA;v115@9gC8wwg0R4RpC8xwi0RpE8i0RpD8wwR4g0RpA8JeAg?WGAv/dgCKNBAA;v115@9gC8wwRpg0R4C8xwRpi0E8Rpi0D8wwRpR4g0A8JeAg?WGAv/lPCPNBAA;v115@9gC8wwRpi0C8xwRpR4g0E8g0R4RpD8wwi0RpA8JeAg?WGAvvTxCv/AAA;v115@9gC8R4hlRpC8R4i0RpE8h0glRpD8i0glRpA8JeAgWG?AvfHgCzCBAA;v115@9gC8R4RphlC8R4g0Rph0E8g0Rpg0glD8h0Rpg0glA8?JeAgWGAKnHgCzCBAA
OTJTLSJ,35,TTLJJO;TTLJJS;TTJJSO;TTLJSO,S;O;L;J,v115@9gC8R4wwilC8R4xwglRpE8xwg0RpD8ywi0A8JeAgWG?Aq+KxCzCBAA;v115@9gC8R4wwi0C8R4xwi0E8xwg0RpD8ywg0RpA8JeAgWG?Avu/wCz/AAA;v115@9gC8wwhli0C8ywgli0E8wwglg0RpD8ywg0RpA8JeAg?WGAvu/wCs/AAA;v115@9gC8wwh0ilC8xwg0wwglRpE8xwg0RpD8wwg0wwi0A8?JeAgWGAKHWxCqCBAA;v115@9gC8wwilh0C8xwglRpg0wwE8g0RpxwD8wwj0wwA8Je?AgWGAq+aPC0CBAA;v115@9gC8R4wwi0C8R4xwRpg0E8xwi0D8ywRpg0A8JeAgWG?A0/dgCz/AAA;v115@9gC8R4ywglC8R4g0wwilE8g0xwRpD8h0xwRpA8JeAg?WGAv/VWCzOBAA;v115@9gC8R4ilwwC8R4g0RpxwE8g0RpxwD8h0glywA8JeAg?WGA0vKxCzCBAA;v115@9gC8R4RphlC8R4wwRpwwglE8i0xwD8ywg0wwglA8Je?AgWGA0/VWCPNBAA;v115@9gC8R4Rph0C8R4wwRpg0wwE8i0xwD8ywh0wwA8JeAg?WGA0/lPCPNBAA;v115@9gC8wwi0hlC8xwRpg0wwglE8i0xwD8wwRpg0wwglA8?JeAgWGA0/DxCv/AAA;v115@9gC8wwR4ilC8zwRpg0E8xwRpg0D8R4wwglh0A8JeAg?WGAKHWxCzCBAA;v115@9gC8wwh0glRpC8xwg0wwglRpE8xwi0D8wwg0wwhlg0?A8JeAgWGAqOExCKHBAA;v115@9gC8wwR4ilC8zwglRpE8xwg0RpD8R4wwi0A8JeAgWG?AKHWxCMNBAA;v115@9gC8R4wwg0hlC8R4xwi0E8xwRpglD8ywRpglA8JeAg?WGAvu/wCzCBAA;v115@9gC8R4wwilC8R4xwRpg0E8xwRpg0D8ywglh0A8JeAg?WGA0vKxCzCBAA;v115@9gC8wwR4i0C8zwi0E8xwRpg0D8R4wwRpg0A8JeAgWG?Avu/wCz/AAA;v115@9gC8R4wwi0C8R4xwi0E8xwRpg0D8ywRpg0A8JeAgWG?Avu/wCz/AAA;v115@9gC8wwhli0C8ywgli0E8wwglRpg0D8ywRpg0A8JeAg?WGAvu/wCs/AAA;v115@9gC8wwhli0C8ywglRpg0E8wwgli0D8ywRpg0A8JeAg?WGA0/VWCv/AAA;v115@9gC8wwglRph0C8xwglRpg0wwE8i0xwD8wwhlh0wwA8?JeAgWGA0f/wCMHBAA;v115@9gC8R4wwglRpC8R4xwglRpE8xwi0D8ywhlg0A8JeAg?WGA0/VWCPNBAA;v115@9gC8wwR4glRpC8zwglRpE8xwi0D8R4wwhlg0A8JeAg?WGAqOMgCUNBAA;v115@9gC8wwR4RpglC8zwilE8xwi0D8R4wwRpg0A8JeAgWG?AqOExCPNBAA;v115@9gC8R4wwRpglC8R4xwilE8xwi0D8ywRpg0A8JeAgWG?A0/DxCTHBAA;v115@9gC8R4wwh0glC8R4xwilE8xwg0RpD8ywg0RpA8JeAg?WGAvOExCz/AAA;v115@9gC8wwi0RpC8ywh0RpE8wwi0glD8ywilA8JeAgWGA0?/VWCv/AAA;v115@9gC8l0C8ywg0ilE8RpywD8wwRpglwwg0A8JeAgWGAv?OExCq/AAA;v115@9gC8wwi0hlC8ywRph0E8wwRpg0glD8ywh0glA8JeAg?WGA0/dgCs/AAA;v115@9gC8wwR4h0glC8zwilE8xwg0RpD8R4wwg0RpA8JeAg?WGAvOWWCKNBAA;v115@9gC8R4hlh0C8R4g0wwglg0wwE8g0zwD8h0wwglg0ww?A8JeAgWGA0/lPCMNBAA;v115@9gC8R4h0hlC8R4h0xwglE8g0zwD8i0xwglA8JeAgWG?A0/VWCKNBAA;v115@9gC8R4h0hlC8R4g0ywglE8h0xwglD8i0ywA8JeAgWG?A0/DxCz/AAA;v115@9gC8g0hlwwR4C8i0glywE8g0glywD8i0R4wwA8JeAg?WGA0/VWCz/AAA;v115@9gC8wwi0R4C8ywilg0E8wwglR4g0D8ywi0A8JeAgWG?A0/VWCz/AAA
TOJLZST,5,TTLJSZ;TTLJZO;TTLJSO;TTLSZO,O;S;Z;J,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8ywglRpC8BtxwglRpE8xwi0D8Btwwhlg0A8JeAg?WGAqujWCvOBAA;v115@9gC8R4ywglC8R4g0wwilE8g0xwRpD8h0xwRpA8JeAg?WGAv/VWCzOBAA;v115@9gC8R4ywglC8R4BtilE8wwBtRpD8zwRpA8JeAgWGAv?ujWCzOBAA;v115@9gC8R4AtywC8R4Bth0wwE8Atglg0xwD8ilg0xwA8Je?AgWGA0/TFDzOBAA
JTOJOSL,12,TLJJSO;TLJJOO;TJJSOO;LJJSOO;TLJSOO,O;S;L;T;J,v115@9gC8R4hlRpC8R4g0wwglRpE8g0xwRpD8h0wwglRpA8?JeAgWGAv/VWCPNBAA;v115@9gC8R4h0RpC8R4h0wwRpE8g0xwRpD8i0wwRpA8JeAg?WGAv/lPCPNBAA;v115@9gC8R4RphlC8R4g0RpwwglE8g0RpxwD8h0RpwwglA8?JeAgWGA0vKWCPNBAA;v115@9gC8R4Rph0C8R4g0Rpg0wwE8g0RpxwD8h0Rpg0wwA8?JeAgWGA0vaPCPNBAA;v115@9gC8wwi0RpC8ywglg0RpE8i0RpD8ilg0RpA8JeAgWG?AvvKxCs/AAA;v115@9gC8i0ilC8ywg0glR4E8Rpi0D8wwRpR4g0A8JeAgWG?AvvTxCs/AAA;v115@9gC8wwilRpC8xwglR4RpE8i0RpD8wwR4g0RpA8JeAg?WGAvvTxCvCBAA;v115@9gC8wwRpilC8xwRpglR4E8Rpi0D8wwRpR4g0A8JeAg?WGAvvTxCvCBAA;v115@9gC8wwg0R4RpC8xwi0RpE8i0RpD8wwR4g0RpA8JeAg?WGAv/dgCKNBAA;v115@9gC8wwRpg0R4C8xwRpi0E8Rpi0D8wwRpR4g0A8JeAg?WGAv/lPCPNBAA;v115@9gC8R4hlRpC8R4i0RpE8h0glRpD8i0glRpA8JeAgWG?AvfHgCzCBAA;v115@9gC8R4RphlC8R4g0Rph0E8g0Rpg0glD8h0Rpg0glA8?JeAgWGAKnHgCzCBAA
TOJZLST,4,TTLJZO;TTLJSO;TTLSZO,S;Z;J,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8ywglRpC8BtxwglRpE8xwi0D8Btwwhlg0A8JeAg?WGAqujWCvOBAA;v115@9gC8R4ywglC8R4g0wwilE8g0xwRpD8h0xwRpA8JeAg?WGAv/VWCzOBAA;v115@9gC8R4ywglC8R4BtilE8wwBtRpD8zwRpA8JeAgWGAv?ujWCzOBAA
JTOOJSL,14,TLJJSO;TLJJOO;TJJSOO;LJJSOO;TLJSOO,O;S;L;T;J,v115@9gC8R4hlRpC8R4g0wwglRpE8g0xwRpD8h0wwglRpA8?JeAgWGAv/VWCPNBAA;v115@9gC8R4h0RpC8R4h0wwRpE8g0xwRpD8i0wwRpA8JeAg?WGAv/lPCPNBAA;v115@9gC8R4RphlC8R4g0RpwwglE8g0RpxwD8h0RpwwglA8?JeAgWGA0vKWCPNBAA;v115@9gC8R4Rph0C8R4g0Rpg0wwE8g0RpxwD8h0Rpg0wwA8?JeAgWGA0vaPCPNBAA;v115@9gC8wwi0RpC8ywglg0RpE8i0RpD8ilg0RpA8JeAgWG?AvvKxCs/AAA;v115@9gC8i0ilC8ywg0glR4E8Rpi0D8wwRpR4g0A8JeAgWG?AvvTxCs/AAA;v115@9gC8wwilRpC8xwglR4RpE8i0RpD8wwR4g0RpA8JeAg?WGAvvTxCvCBAA;v115@9gC8i0ilC8ywg0glRpE8Rpg0RpD8wwRpi0A8JeAgWG?AK3KxCs/AAA;v115@9gC8wwRpilC8xwRpglR4E8Rpi0D8wwRpR4g0A8JeAg?WGAvvTxCvCBAA;v115@9gC8wwg0R4RpC8xwi0RpE8i0RpD8wwR4g0RpA8JeAg?WGAv/dgCKNBAA;v115@9gC8wwRpg0R4C8xwRpi0E8Rpi0D8wwRpR4g0A8JeAg?WGAv/lPCPNBAA;v115@9gC8i0ilC8ywg0Rpg0E8Tpg0D8wwRpglh0A8JeAgWG?AvvKxCqCBAA;v115@9gC8R4hlRpC8R4i0RpE8h0glRpD8i0glRpA8JeAgWG?AvfHgCzCBAA;v115@9gC8R4RphlC8R4g0Rph0E8g0Rpg0glD8h0Rpg0glA8?JeAgWGAKnHgCzCBAA
TOJZLTS,10,TTLJSZ;TTLJZO;TTLJSO,O;S;Z,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8R4wwilC8R4xwglRpE8xwg0RpD8ywi0A8JeAgWG?Aq+KxCzCBAA;v115@9gC8ywglRpC8BtxwglRpE8xwi0D8Btwwhlg0A8JeAg?WGAqujWCvOBAA;v115@9gC8BtRphlC8ywRpwwglE8i0xwD8wwBtg0wwglA8Je?AgWGA0/DxCvXBAA;v115@9gC8wwR4ilC8zwglRpE8xwg0RpD8R4wwi0A8JeAgWG?AKHWxCMNBAA;v115@9gC8ywilC8BtxwRpg0E8xwRpg0D8Btwwglh0A8JeAg?WGAKHmFD0CBAA;v115@9gC8ywRpglC8BtxwilE8xwi0D8BtwwRpg0A8JeAgWG?AqujWCUHBAA;v115@9gC8R4wwilC8R4xwglAtg0E8xwBtg0D8ywAth0A8Je?AgWGA0fjxCzCBAA;v115@9gC8wwR4AthlC8ywBtwwglE8i0xwD8R4Atg0wwglA8?JeAgWGA0/TFDUNBAA;v115@9gC8wwR4ilC8zwglAtg0E8xwBtg0D8R4wwAth0A8Je?AgWGAqujxCMNBAA
JTOOJLS,12,TLJJOO;TJJSOO;TLJSOO,S;L;J,v115@9gC8R4hlRpC8R4g0wwglRpE8g0xwRpD8h0wwglRpA8?JeAgWGAv/VWCPNBAA;v115@9gC8R4h0RpC8R4h0wwRpE8g0xwRpD8i0wwRpA8JeAg?WGAv/lPCPNBAA;v115@9gC8R4RphlC8R4g0RpwwglE8g0RpxwD8h0RpwwglA8?JeAgWGA0vKWCPNBAA;v115@9gC8R4Rph0C8R4g0Rpg0wwE8g0RpxwD8h0Rpg0wwA8?JeAgWGA0vaPCPNBAA;v115@9gC8wwi0RpC8ywglg0RpE8i0RpD8ilg0RpA8JeAgWG?AvvKxCs/AAA;v115@9gC8i0glRpC8ywg0glRpE8Rpi0D8wwRphlg0A8JeAg?WGAv/DxCv/AAA;v115@9gC8i0ilC8ywg0glRpE8Rpg0RpD8wwRpi0A8JeAgWG?AK3KxCs/AAA;v115@9gC8i0RpglC8ywg0ilE8Rpi0D8wwTpg0A8JeAgWGAv?/VWCKHBAA;v115@9gC8wwg0R4RpC8xwi0RpE8i0RpD8wwR4g0RpA8JeAg?WGAv/dgCKNBAA;v115@9gC8wwRpg0R4C8xwRpi0E8Rpi0D8wwRpR4g0A8JeAg?WGAv/lPCPNBAA;v115@9gC8TphlC8i0RpwwglE8h0ywD8Rpi0glA8JeAgWGAq?+aPCMHBAA;v115@9gC8i0ilC8ywg0Rpg0E8Tpg0D8wwRpglh0A8JeAgWG?AvvKxCqCBAA
TOJLZTS,10,TTLJSZ;TTLJZO;TTLJSO,O;S;Z,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8R4wwilC8R4xwglRpE8xwg0RpD8ywi0A8JeAgWG?Aq+KxCzCBAA;v115@9gC8ywglRpC8BtxwglRpE8xwi0D8Btwwhlg0A8JeAg?WGAqujWCvOBAA;v115@9gC8BtRphlC8ywRpwwglE8i0xwD8wwBtg0wwglA8Je?AgWGA0/DxCvXBAA;v115@9gC8wwR4ilC8zwglRpE8xwg0RpD8R4wwi0A8JeAgWG?AKHWxCMNBAA;v115@9gC8wwR4glRpC8zwglRpE8xwi0D8R4wwhlg0A8JeAg?WGAqOMgCUNBAA;v115@9gC8ywilC8BtxwRpg0E8xwRpg0D8Btwwglh0A8JeAg?WGAKHmFD0CBAA;v115@9gC8ywRpglC8BtxwilE8xwi0D8BtwwRpg0A8JeAgWG?AqujWCUHBAA;v115@9gC8RpywAtC8i0xwBtE8g0xwAtglD8RpwwilA8JeAg?WGA0/TFDUHBAA;v115@9gC8wwR4AthlC8ywBtwwglE8i0xwD8R4Atg0wwglA8?JeAgWGA0/TFDUNBAA
